c371bf,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505425761,096b74,200
096b74,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505425761,,500
88e28d,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505425794,109b2e,200
63e662,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505425794,109b2e,200
109b2e,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505425794,74654d,200
74654d,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505425794,,200
5f6987,::1,GET,http://localhost/ecommerce/web/app_dev.php/console,1505425945,fe2f6d,200
fe2f6d,::1,GET,http://localhost/ecommerce/web/app_dev.php/console,1505425945,,500
eda40e,::1,GET,http://localhost/ecommerce/web/app_dev.php/console,1505425986,53a2db,200
53a2db,::1,GET,http://localhost/ecommerce/web/app_dev.php/console,1505425986,,404
6c189f,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505513507,0949b0,200
998464,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505513507,0949b0,200
0949b0,::1,POST,http://localhost/ecommerce/web/app_dev.php/,1505513507,d8f901,200
d8f901,::1,POST,http://localhost/ecommerce/web/app_dev.php/,1505513507,,200
7f0d56,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505513521,952d7d,200
16c73c,127.0.0.1,GET,http://localhost/ecommerce/web/app_dev.php/_fragment?_path=_format%3Dhtml%26_locale%3Dfr%26_controller%3DEcommerceBundle%253ACategorie%253Amenu,1505513521,952d7d,200
952d7d,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505513521,ea843d,200
ea843d,::1,GET,http://localhost/ecommerce/web/app_dev.php/,1505513521,,200
